route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"17-274-C-j20-1","11","274","","3","8000ff","FFFFFF"
"17-274-C-j20-2","11","274","","3","8000ff","FFFFFF"
"17-275-C-j20-1","11","275","","3","8000ff","FFFFFF"
"17-275-C-j20-2","11","275","","3","8000ff","FFFFFF"
"17-285-C-j20-1","03","285","","3","8000ff","FFFFFF"
"17-293-C-j20-2","23","293","","3","8000ff","FFFFFF"
"17-293-D-j20-1","23","293","","3","8000ff","FFFFFF"
"17-31-E-j20-1","43","31","","3","8000ff","FFFFFF"
"17-32-C-j20-1","43","32","","3","8000ff","FFFFFF"
"17-42-E-j20-1","43","ALT42","","3","8000ff","FFFFFF"
"17-53-E-j20-1","43","ALT53","","3","8000ff","FFFFFF"
"17-54-E-j20-1","43","ALT54","","3","8000ff","FFFFFF"
"17-64-E-j20-1","43","ALT64","","3","8000ff","FFFFFF"
"17-96-E-j20-1","43","NL6","","3","8000ff","FFFFFF"
"21-12-E-j20-1","02","S2","","2","a34da7","FFFFFF"
"21-12-E-j20-2","02","S2","","2","a34da7","FFFFFF"
"21-12-E-j20-3","02","S2","","2","a34da7","FFFFFF"
"21-12-E-j20-4","02","S2","","2","a34da7","FFFFFF"
"21-12-E-j20-5","02","S2","","2","a34da7","FFFFFF"
"21-12-E-j20-6","02","S2","","2","a34da7","FFFFFF"
"21-12-E-j20-7","02","S2","","2","a34da7","FFFFFF"
"21-17-E-j20-1","02","E","","0","FF0000","FFFFFF"
"21-18-E-j20-1","02","8","","0","ff8000","000000"
"21-1-E-j20-1","02","1","","0","FF0000","FFFFFF"
"21-1-E-j20-2","02","1","","0","FF0000","FFFFFF"
"21-1-E-j20-3","02","1","","0","FF0000","FFFFFF"
"21-1-E-j20-4","02","1","","0","FF0000","FFFFFF"
"21-1-E-j20-5","02","1","","0","FF0000","FFFFFF"
"21-1-E-j20-6","02","1","","0","FF0000","FFFFFF"
"21-1-N-j20-1","02","NL 1","","0","FF0000","FFFFFF"
"21-1-N-j20-2","02","NL 1","","0","FF0000","FFFFFF"
"21-1-N-j20-3","02","NL 1","","0","FF0000","FFFFFF"
