service_id,date,exception_type
"T0#3","20200519","2"
"T0#3","20200520","2"
"T0#3","20200521","2"
"T0#3","20200522","2"
"T0#3","20200525","2"
"T0#3","20200526","2"
"T0#3","20200527","2"
"T0#3","20200528","2"
"T0#3","20200529","2"
"T0#3","20200601","2"
"T0#3","20200602","2"
"T0#3","20200603","2"
"T0#3","20200604","2"
"T0#3","20200605","2"
"T0#3","20200608","2"
"T0#3","20200609","2"
"T0#3","20200610","2"
"T0#3","20200611","2"
"T0#3","20200612","2"
"T0#31","20191224","2"
"T0#31","20191225","2"
"T0#31","20191226","2"
"T0#31","20191231","2"
"T0#31","20200101","2"
"T0#31","20200106","2"
"T0#31","20200124","2"
"T0#31","20200225","2"
"T0#31","20200410","2"
"T0#31","20200413","2"
"T0#31","20200501","2"
"T0#31","20200521","2"
"T0#31","20200601","2"
"T0#31","20200611","2"
"T0#33","20191224","2"
"T0#33","20191225","2"
"T0#33","20191226","2"
"T0#33","20191231","2"
"T0#33","20200101","2"
"T0#33","20200106","2"
"T0#33","20200228","2"
"T0#33","20200410","2"
"T0#33","20200413","2"
"T0#33","20200501","2"
"T0#33","20200521","2"
"T0#33","20200601","2"
"T0#33","20200611","2"
"T0#35","20191224","2"
"T0#35","20191225","2"
"T0#35","20191226","2"
"T0#35","20191231","2"
"T0#35","20200101","2"
"T0#35","20200106","2"
"T0#35","20200130","2"
"T0#35","20200206","2"
"T0#35","20200213","2"
"T0#35","20200220","2"
"T0#35","20200410","2"
"T0#35","20200413","2"
"T0#35","20200501","2"
"T0#35","20200521","2"
"T0#35","20200601","2"
"T0#35","20200611","2"
"T0#4","20200410","2"
"T0#4","20200413","2"
"T0#4","20200501","2"
"T0#4","20200521","2"
"T0#4","20200601","2"
"T0#4","20200611","2"
"T0#40","20191224","2"
"T0#40","20191225","2"
"T0#40","20191226","2"
"T0#40","20191231","2"
"T0#40","20200101","2"
"T0#40","20200106","2"
"T0#40","20200224","2"
"T0#40","20200410","2"
"T0#40","20200413","2"
"T0#40","20200501","2"
"T0#40","20200521","2"
"T0#40","20200601","2"
"T0#40","20200611","2"
"T0#42","20191224","2"
"T0#42","20191225","2"
"T0#42","20191226","2"
"T0#42","20191231","2"
"T0#42","20200101","2"
"T0#42","20200106","2"
"T0#42","20200228","2"
"T0#42","20200410","2"
"T0#42","20200413","2"
"T0#42","20200501","2"
"T0#42","20200521","2"
"T0#42","20200601","2"
"T0#42","20200611","2"
"T0#44","20191224","2"
"T0#44","20191225","2"
"T0#44","20191226","2"
"T0#44","20191231","2"
"T0#44","20200101","2"
"T0#44","20200106","2"
"T0#44","20200108","2"
"T0#44","20200109","2"
"T0#44","20200110","2"
"T0#44","20200113","2"
"T0#44","20200114","2"
"T0#44","20200115","2"
"T0#44","20200116","2"
"T0#44","20200117","2"
"T0#44","20200120","2"
"T0#44","20200121","2"
"T0#44","20200122","2"
"T0#44","20200123","2"
"T0#44","20200124","2"
"T0#44","20200127","2"
"T0#44","20200128","2"
"T0#44","20200129","2"
"T0#44","20200130","2"
"T0#44","20200131","2"
"T0#44","20200203","2"
"T0#44","20200204","2"
"T0#44","20200205","2"
"T0#44","20200206","2"
"T0#44","20200207","2"
"T0#44","20200210","2"
"T0#44","20200211","2"
"T0#44","20200212","2"
"T0#44","20200213","2"
"T0#44","20200214","2"
"T0#44","20200217","2"
"T0#44","20200218","2"
"T0#44","20200219","2"
"T0#44","20200220","2"
"T0#44","20200221","2"
"T0#44","20200224","2"
"T0#44","20200225","2"
"T0#44","20200226","2"
"T0#44","20200227","2"
"T0#44","20200228","2"
"T0#44","20200302","2"
"T0#44","20200303","2"
"T0#44","20200304","2"
"T0#44","20200305","2"
"T0#44","20200306","2"
"T0#44","20200309","2"
"T0#44","20200310","2"
"T0#44","20200311","2"
"T0#44","20200312","2"
"T0#44","20200313","2"
"T0#44","20200316","2"
"T0#44","20200317","2"
"T0#44","20200318","2"
"T0#44","20200319","2"
"T0#44","20200320","2"
"T0#44","20200323","2"
"T0#44","20200324","2"
"T0#44","20200325","2"
"T0#44","20200326","2"
"T0#44","20200327","2"
"T0#44","20200330","2"
"T0#44","20200331","2"
"T0#44","20200401","2"
"T0#44","20200402","2"
"T0#44","20200403","2"
"T0#44","20200406","2"
"T0#44","20200407","2"
"T0#44","20200408","2"
"T0#44","20200409","2"
"T0#44","20200410","2"
"T0#44","20200413","2"
"T0#44","20200414","2"
"T0#44","20200415","2"
"T0#44","20200416","2"
"T0#44","20200417","2"
"T0#44","20200420","2"
"T0#44","20200421","2"
"T0#44","20200422","2"
"T0#44","20200423","2"
"T0#44","20200424","2"
"T0#44","20200427","2"
"T0#44","20200428","2"
"T0#44","20200429","2"
"T0#44","20200430","2"
"T0#44","20200501","2"
"T0#44","20200504","2"
"T0#44","20200505","2"
"T0#44","20200506","2"
"T0#44","20200507","2"
"T0#44","20200508","2"
"T0#44","20200511","2"
"T0#44","20200512","2"
"T0#44","20200513","2"
"T0#44","20200514","2"
"T0#44","20200515","2"
"T0#44","20200518","2"
"T0#44","20200519","2"
"T0#44","20200520","2"
"T0#44","20200521","2"
"T0#44","20200522","2"
"T0#44","20200525","2"
"T0#44","20200526","2"
"T0#44","20200527","2"
"T0#44","20200528","2"
"T0#44","20200529","2"
"T0#44","20200601","2"
"T0#44","20200602","2"
"T0#44","20200603","2"
"T0#44","20200604","2"
"T0#44","20200605","2"
"T0#44","20200608","2"
"T0#44","20200609","2"
"T0#44","20200610","2"
"T0#44","20200611","2"
"T0#44","20200612","2"
"T0#45","20200410","2"
"T0#45","20200413","2"
"T0#45","20200501","2"
"T0#45","20200521","2"
"T0#45","20200601","2"
"T0#45","20200611","2"
"T0#46","20191224","2"
"T0#46","20191225","2"
"T0#46","20191226","2"
"T0#46","20191231","2"
"T0#46","20200101","2"
"T0#46","20200106","2"
"T0#47","20200410","2"
"T0#47","20200413","2"
"T0#47","20200501","2"
"T0#47","20200521","2"
"T0#47","20200601","2"
"T0#47","20200611","2"
"T0#5","20191224","2"
"T0#5","20191225","2"
"T0#5","20191226","2"
"T0#5","20191231","2"
"T0#5","20200101","2"
"T0#5","20200106","2"
"T0#5","20200302","2"
"T0#5","20200303","2"
"T0#5","20200304","2"
"T0#5","20200305","2"
"T0#5","20200306","2"
"T0#5","20200309","2"
"T0#5","20200310","2"
"T0#5","20200311","2"
"T0#5","20200312","2"
"T0#5","20200313","2"
"T0#5","20200316","2"
"T0#5","20200317","2"
"T0#5","20200318","2"
"T0#5","20200319","2"
"T0#5","20200320","2"
"T0#5","20200323","2"
"T0#5","20200324","2"
"T0#5","20200325","2"
"T0#5","20200326","2"
"T0#5","20200327","2"
"T0#5","20200330","2"
"T0#5","20200331","2"
"T0#5","20200401","2"
"T0#5","20200402","2"
"T0#5","20200403","2"
"T0#5","20200406","2"
"T0#5","20200407","2"
"T0#5","20200408","2"
"T0#5","20200409","2"
"T0#5","20200410","2"
"T0#5","20200413","2"
"T0#5","20200414","2"
"T0#5","20200415","2"
"T0#5","20200416","2"
"T0#5","20200417","2"
"T0#5","20200420","2"
"T0#5","20200421","2"
"T0#5","20200422","2"
"T0#5","20200423","2"
"T0#5","20200424","2"
"T0#5","20200427","2"
"T0#5","20200428","2"
"T0#5","20200429","2"
"T0#5","20200430","2"
"T0#5","20200501","2"
"T0#5","20200504","2"
"T0#5","20200505","2"
"T0#5","20200506","2"
"T0#5","20200507","2"
"T0#5","20200508","2"
"T0#5","20200511","2"
"T0#5","20200512","2"
"T0#5","20200513","2"
"T0#5","20200514","2"
"T0#5","20200515","2"
"T0#5","20200518","2"
"T0#5","20200519","2"
"T0#5","20200520","2"
"T0#5","20200521","2"
"T0#5","20200522","2"
"T0#5","20200525","2"
"T0#5","20200526","2"
"T0#5","20200527","2"
"T0#5","20200528","2"
"T0#5","20200529","2"
"T0#5","20200601","2"
"T0#5","20200602","2"
"T0#5","20200603","2"
"T0#5","20200604","2"
"T0#5","20200605","2"
"T0#5","20200608","2"
"T0#5","20200609","2"
"T0#5","20200610","2"
"T0#5","20200611","2"
"T0#5","20200612","2"
"T0#50","20200410","2"
"T0#50","20200413","2"
"T0#50","20200501","2"
"T0#50","20200521","2"
"T0#50","20200601","2"
"T0#50","20200611","2"
"T0#51","20191224","2"
"T0#51","20191225","2"
"T0#51","20191226","2"
"T0#51","20191231","2"
"T0#51","20200101","2"
"T0#51","20200106","2"
"T0#51","20200122","2"
"T0#51","20200123","2"
"T0#51","20200124","2"
"T0#51","20200127","2"
"T0#51","20200128","2"
"T0#51","20200129","2"
"T0#51","20200130","2"
"T0#51","20200131","2"
"T0#51","20200203","2"
"T0#51","20200204","2"
"T0#51","20200205","2"
"T0#51","20200206","2"
"T0#51","20200207","2"
"T0#51","20200210","2"
"T0#51","20200211","2"
"T0#51","20200212","2"
"T0#51","20200213","2"
"T0#51","20200214","2"
"T0#51","20200217","2"
"T0#51","20200218","2"
"T0#51","20200219","2"
"T0#51","20200220","2"
"T0#51","20200221","2"
"T0#51","20200224","2"
"T0#51","20200225","2"
"T0#51","20200226","2"
"T0#51","20200227","2"
"T0#51","20200228","2"
"T0#51","20200302","2"
"T0#51","20200303","2"
"T0#51","20200304","2"
"T0#51","20200305","2"
"T0#51","20200306","2"
"T0#51","20200309","2"
"T0#51","20200310","2"
"T0#51","20200311","2"
"T0#51","20200312","2"
"T0#51","20200313","2"
"T0#51","20200316","2"
"T0#51","20200317","2"
"T0#51","20200318","2"
"T0#51","20200319","2"
"T0#51","20200320","2"
"T0#51","20200323","2"
"T0#51","20200324","2"
"T0#51","20200325","2"
"T0#51","20200326","2"
"T0#51","20200327","2"
"T0#51","20200330","2"
"T0#51","20200331","2"
"T0#51","20200401","2"
"T0#51","20200402","2"
"T0#51","20200403","2"
"T0#51","20200406","2"
"T0#51","20200407","2"
"T0#51","20200408","2"
"T0#51","20200409","2"
"T0#51","20200410","2"
"T0#51","20200413","2"
"T0#51","20200414","2"
"T0#51","20200415","2"
"T0#51","20200416","2"
"T0#51","20200417","2"
"T0#51","20200420","2"
"T0#51","20200421","2"
"T0#51","20200422","2"
"T0#51","20200423","2"
"T0#51","20200424","2"
"T0#51","20200427","2"
"T0#51","20200428","2"
"T0#51","20200429","2"
"T0#51","20200430","2"
"T0#51","20200501","2"
"T0#51","20200504","2"
