service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0+aa2#20","0","0","0","1","0","0","0","20200130","20200130"
"T0+aa2#21","0","0","0","1","0","0","0","20200206","20200206"
"T0+aa2#22","0","0","0","1","0","0","0","20200213","20200213"
"T0+aa2#23","0","0","0","1","0","0","0","20200220","20200220"
"T0+aa2#24","0","0","0","0","1","0","0","20200221","20200221"
"T0+aa2#25","1","1","1","1","1","0","0","20200224","20200228"
"T0+aa2#26","1","1","1","1","0","0","0","20200404","20200410"
"T0+aa2#3","0","1","0","0","0","0","0","20200225","20200225"
"T0+aa2#4","1","1","1","1","0","0","0","20200309","20200312"
"T0+aa2#5","0","0","0","0","1","0","0","20200320","20200321"
"T0+aa2#6","1","0","0","0","0","0","0","20200323","20200323"
"T0+aa2#7","1","1","1","1","0","0","0","20200404","20200419"
"T0+aa2#8","1","1","1","1","1","0","0","20191215","20200613"
"T0+aa2#9","0","0","0","0","1","0","0","20200228","20200301"
"T0+aJ","1","1","1","1","1","0","0","20191215","20200613"
"T0+am","1","1","0","1","0","0","0","20191215","20200613"
"T0+an100","1","1","1","1","1","0","0","20191215","20200613"
"T0+ao100","0","1","1","1","0","0","0","20191215","20200613"
"T0+ay","1","1","1","1","1","0","0","20191215","20200613"
"T0+b2","1","1","1","1","0","0","0","20191215","20200613"
"T0+b2#1","1","1","1","1","0","0","0","20200302","20200613"
"T0+b2#2","1","1","1","1","0","0","0","20191215","20200613"
"T0+b2#3","1","1","1","1","0","0","0","20191215","20200613"
"T0+b2#4","1","1","1","1","0","0","0","20191215","20200613"
"T0+b2#5","1","1","1","1","0","0","0","20200113","20200613"
"T0+b3","0","0","0","0","1","0","0","20191215","20200613"
"T0+b3#1","0","0","0","0","1","0","0","20200302","20200613"
"T0+b3#2","0","0","0","0","1","0","0","20191215","20200613"
"T0+b3#3","0","0","0","0","1","0","0","20191215","20200308"
"T0+b3#4","0","0","0","0","1","0","0","20200309","20200613"
"T0+b3#5","0","0","0","0","1","0","0","20191215","20200613"
"T0+b3#6","0","0","0","0","1","0","0","20200127","20200613"
"T0+b3#7","0","0","0","0","1","0","0","20191215","20200613"
"T0+b3#8","0","0","0","0","1","0","0","20200113","20200613"
"T0+b3a","0","0","0","0","1","0","0","20191215","20200613"
"T0+b3b","1","1","1","1","0","0","0","20191215","20200613"
"T0+b5200","1","1","1","1","1","0","0","20191215","20200403"
"T0+bc","1","1","1","1","0","0","0","20191215","20200613"
"T0+bi","0","0","0","0","1","0","0","20191215","20200613"
"T0+bk","0","0","0","0","1","0","0","20191215","20200613"
"T0+bn","1","1","1","1","0","0","0","20191215","20200613"
"T0+bv200","1","1","1","1","1","0","0","20200302","20200403"
"T0+cn","1","1","1","1","1","0","0","20191215","20200613"
"T0+cn#1","1","1","1","1","1","0","0","20191215","20200613"
"T0+d9300","1","1","1","1","1","0","0","20200316","20200403"
"T0+dv200","0","1","1","1","0","0","0","20200302","20200403"
"T0+g1200","1","1","1","1","1","0","0","20191215","20200403"
"T0+hq100","1","1","1","1","1","0","0","20191215","20200613"
"T0+i9300","1","1","1","1","1","0","0","20200316","20200403"
"T0+j2200","0","0","0","1","1","0","0","20200404","20200419"
"T0+jq100","0","0","1","1","1","0","0","20191215","20200613"
"T0+k9200","1","1","1","1","1","0","0","20200420","20200613"
"T0+l2","0","1","0","0","0","0","0","20191215","20200613"
"T0+l2#1","0","1","0","0","0","0","0","20191215","20200126"
"T0+l2#2","0","1","0","0","0","0","0","20200127","20200613"
"T0+l3","0","0","1","0","0","0","0","20191215","20200613"
"T0+l7300","1","1","0","0","0","0","0","20200316","20200403"
"T0+lc","1","1","0","1","1","0","0","20191215","20200613"
"T0+lc#1","1","1","0","1","1","0","0","20191215","20200126"
"T0+lc#2","1","1","0","1","1","0","0","20200127","20200613"
"T0+lq","0","1","0","1","0","0","0","20191215","20200613"
"T0+lq#1","0","1","0","1","0","0","0","20200402","20200613"
"T0+lw","0","0","1","0","1","0","0","20191215","20200613"
"T0+lw#1","0","0","1","0","1","0","0","20200107","20200613"
